year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
2006,Qalyoub Train Collision,"21, August, 2006","طريق قليوب, صنافير, قليوب, القليوبية, 13612, مصر",30.1816303;31.205587,missing info,58,30.1816303,31.205587,Cause information missing
2006,Valencia Metro Derailment,"3, July, 2006","València, Comarca de València, València / Valencia, Comunitat Valenciana, 46002, España",39.4613;-0.3826,missing info,43,39.4613,-0.3826,Cause information missing
2006,Zoufftgen Train Collision,"11, October, 2006","Zoufftgen, Thionville, Moselle, Grand Est, France métropolitaine, 57330, France",49.4614668;6.1335068,human error  traffic controllers,6,49.4614668,6.1335068,Human Error
2007,Benaleka Train Accident,"1, August, 2007","École primaire Benaleka 3, Lulua, Kasaï-Central, République démocratique du Congo",-5.0961111;22.0958333,brake failure,100,-5.0961111,22.0958333,Brake Failure/Error
2007,Brooks Derailment,"16, January, 2007","Bullitt County, Kentucky, United States",38.068;-85.711,missing info,0,38.068,-85.711,Cause information missing
2007,Grayrigg Derailment,"23, February, 2007","Grayrigg, South Lakeland, Cumbria, North West England, England, United Kingdom",54.3575;-2.65917,defective points due to poor maintenance and inspection procedures,1,54.3575,-2.65917,Technical Error
2007,Kerang Train Accident,"5, June, 2007","Kerang, Shire of Gannawarra, Victoria, 3579, Australia",-35.7338373;143.9204152,truck driver error,11,-35.7338373,143.9204152,Human Error
2007,Mehrabpur Derailment,"19, December, 2007",Mehrabpur Junction Railway Station,Mehrabpur Junction Railway Station,derailment,40,,,Derailment
2008,Barrow Upon Soar Rail Crash,"1, February, 2008","Barrow upon Soar, Charnwood, Leicestershire, East Midlands, England, United Kingdom",52.75148435;-1.1338923707672466,collapsed bridge,0,52.75148435,-1.1338923707672466,Bridge Failure
2008,Chatsworth Train Collision,"12, September, 2008","Los Angeles, Los Angeles County, California, United States",34.0536909;-118.242766,signal passed at danger,25,34.0536909,-118.242766,Signalling Error
2008,Zibo Train Collision,"28, April, 2008","淄博市, 山东省, 中国",36.69306;117.78139,speeding and derailment,72,36.69306,117.78139,Excessive Speed
2008,Kütahya Train Derailment,"27, January, 2008","Çöğürler, Kütahya Merkez, Kütahya, Ege Bölgesi, Türkiye",39.25861;30.19361,rail fracture due to frost,9,39.25861,30.19361,Track/Rail Error
2008,Massachusetts Train Collision,"28, May, 2008","Newton, Middlesex County, Massachusetts, 02461, United States",42.3370414;-71.2092214,microsleep episode caused by sleep apnea,1,42.3370414,-71.2092214,Other
2008,Monorierdő Train Collision,"6, October, 2008","Monorierdő, Pest County","Monorierdő, Pest County",train control error,4,,,Other
2008,Sofia – Kardam Train Fire,"28, February, 2008","Червен бряг, Плевен, 5980, Бългaрия",43.2789455;24.0824325,under investigation,9,43.2789455,24.0824325,Under Investigation
2008,Studénka Train Wreck,"8, August, 2008","Studénka, okres Nový Jičín, Moravskoslezský kraj, Moravskoslezsko, Česko",49.7049;18.0511,missing info,8,49.7049,18.0511,Cause information missing
2009,Barendrecht Train Accident,"24, September, 2009","Barendrecht, Zuid-Holland, Nederland",51.85193795;4.52938352520747,missing info,1,51.85193795,4.52938352520747,Cause information missing
2009,El Ayyat Railway Accident,"24, October, 2009","العياط, محافظة الجيزة, 12929, مصر",29.6167;31.25,suspected spad,50,29.6167,31.25,Other
2009,Friedewald Train Collision,"12, September, 2009",Between Friedewald And Friedewald Bad Stations,51.13278;13.6575,crew error train leaving station on singletrack line without permission,0,51.13278,13.6575,Track/Rail Error
2009,Chenzhou Train Collision,"29, June, 2009","Chenzhou Railway Stationchenzhou, Chenzhou, Hunan",25.809;113.033,under investigation,3,25.809,113.033,Under Investigation
2009,Khao Tao Railway Station,2009,"Sathani Road, Nong Kae Subdistrict, Hua Hin District, Prachuap Khiri Khan",12.4589;99.9698,missing info,Unknows number of deaths,12.4589,99.9698,Cause information missing
2009,Nevsky Express Bombing,"27, November, 2009","Between Alyoshinka And Uglovka, Novgorod Oblast",58.12583;33.67361,terrorist act,28,58.12583,33.67361,Other
2009,Rudine Derailment,"24, July, 2009","Rudine, Kaštel Novi, Grad Kaštela, Splitsko-dalmatinska županija, 21217, Hrvatska",43.570115;16.311307,excessive speed caused by braking failure,6,43.570115,16.311307,Excessive Speed
2009,Scânteia Train Accident,"14, August, 2009","Railway Station In Scânteia, Iaşi County ","Railway Station In Scânteia, Iaşi County ",missing info,14,,,Cause information missing
2009,Viareggio Train Derailment,"29, June, 2009","Viareggio, Piazzale Dante Alighieri, Cotone, Viareggio, Unione dei comuni della Versilia, Lucca, Toscana, 55049, Italia",43.8711694;10.256425,defective axle,32,43.8711694,10.256425,Technical Error
2009,June  Washington Metro Train Collision,"22, June, 2009","Between Takoma And Fort Totten, Northeast, Washington, D.C.",38.96028;-77.00583,track circuit malfunction,9,38.96028,-77.00583,Track/Rail Error
2010,Badarwas Train Collision,"20, September, 2010","Badarwas, Badarwas Tahsil, Shivpuri, Madhya Pradesh, 473885, India",24.97;77.57,red signal overshot,23,24.97,77.57,Signalling Error
2010,Bilecik Train Collision,"3, January, 2010","Bilecik, Bilecik Merkez, Bilecik, Marmara Bölgesi, 11000, Türkiye",40.1431;29.9792,signal passed at danger,1,40.1431,29.9792,Signalling Error
2010,Bir El-Bey Train Collision,"24, September, 2010","بئر الباي, معتمدية حمام الشط, ولاية بن عروس, تونس",36.702715;10.370015497999864,reduced visibility from heavy rain storm,1,36.702715,10.370015497999864,Other
2010,Blackheath Train Accident,"25, August, 2010","Blackheath Secondary School, Dennemere Drive, Dennemere, Cape Town Ward 14, Blue Downs, City of Cape Town, Western Cape, 7129, South Africa",-33.9702;18.7059,missing info,9,-33.9702,18.7059,Cause information missing
2010,Castelldefels Train Accident,"23, June, 2010","Platja de Castelldefels, C-32, Bellamar, Creu de Terme, Castelldefels, Baix Llobregat, Barcelona, Catalunya, 08860, España",41.2670772;1.9572765,missing info,12,41.2670772,1.9572765,Cause information missing
2010,Falls Of Cruachan Derailment,"6, June, 2010","Falls of Cruachan, A85, Lochawe, Argyll and Bute, Scotland, PA33 1AN, United Kingdom",56.3939196;-5.1123563,collision with debris following a landslide,0,56.3939196,-5.1123563,Environmental Cause
2010,Fiesch Derailment,"23, July, 2010","Fiesch, Goms, Valais/Wallis, 3984, Schweiz/Suisse/Svizzera/Svizra",46.402946;8.1341501,missing info,1,46.402946,8.1341501,Cause information missing
2010,Jiangxi Derailment,"23, May, 2010","抚州市, 钟岭街道, 金巢开发区, 临川区, 抚州市, 江西省, 中国",28.23423;116.70845,earlier landslide damaged rails,19,28.23423,116.70845,Track/Rail Error
2010,Halle Train Collision,"15, February, 2010","Buizingen, Halle, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1501, België / Belgique / Belgien",50.745;4.25167,running of a red signal,19,50.745,4.25167,Signalling Error
2010,Little Cornard Derailment,"17, August, 2010","Little Cornard, Babergh, Suffolk, East of England, England, United Kingdom",52.0178278;0.7463639,line obstructed by road vehicle,Unknows number of deaths,52.0178278,0.7463639,Track/Rail Error
2010,Marhanets Train Accident,"12, October, 2010","Марганець, Марганецька міська громада, Нікопольський район, Дніпропетровська область, 53400-53490, Україна",47.65139;34.58389,violation of traffic rules,45,47.65139,34.58389,Other
2010,Merano Derailment,"12, April, 2010",Between Latsch And Kastelbell-Tschars,Between Latsch And Kastelbell-Tschars,obstruction on line ,9,,,Track/Rail Error
2010,Petarukan Train Collision,"2, October, 2010","Petarukan, Pemalang, Jawa Tengah, 52361, Indonesia",-6.86;109.34,human error,36,-6.86,109.34,Human Error
2010,Pretoria Train Accident,"21, April, 2010","Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0126, South Africa",-25.7459374;28.1879444,missing info,3,-25.7459374,28.1879444,Cause information missing
2010,Sainthia Train Collision,"19, July, 2010","Sainthia Junction, NH114, Sainthia, Birbhum, West Bengal, 731234, India",23.9505039;87.6810619,missing info,66,23.9505039,87.6810619,Cause information missing
2010,Sjursøya Train Accident,"24, March, 2010","Sjursøya, Nordstrand, Oslo, 0193, Norge",59.88806;10.75472,runaway,3,59.88806,10.75472,Other
2010,Skotterud Derailment,"1, October, 2010","Skotterud, Eidskog, Innlandet, 2230, Norge",59.983;12.117,crack in a wheel of the first carriage,0,59.983,12.117,Technical Error
2010,Ústí Nad Labem Derailment,"28, June, 2010","Ústí nad Labem, okres Ústí nad Labem, Ústecký kraj, Severozápad, Česko",50.64306;14.04417,excessive speed,1,50.64306,14.04417,Excessive Speed
2010,Yanga Derailment,"21, June, 2010","Yanga, Veracruz de Ignacio de la Llave, México",18.82256465;-96.78967942165072,missing info,76,18.82256465,-96.78967942165072,Cause information missing
2011,Alawwa Rail Accident,"17, September, 2011","Alawwa, කුරුණෑගල දිස්ත්‍රික්කය, වයඹ පළාත, ශ්‍රී ලංකාව இலங்கை",7.2940156;80.2392415,human error,5,7.2940156,80.2392415,Human Error
2011,Baby Derailment,"12, August, 2011","Baby, gmina Moszczenica, powiat piotrkowski, województwo łódzkie, 97-310, Polska",51.53694;19.71667,disputedoverspeed caused by driver signal fault ,2,51.53694,19.71667,Excessive Speed
2011,Boudouaou Rail Accident,"22, August, 2011","Boumerdès ⴱⵓⵎⴻⵔⴷⴰⵙ بومرداس, Daïra Boumerdès, Boumerdès, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر",36.7531054;3.4203953,missing info,1,36.7531054,3.4203953,Cause information missing
2011,Fatehpur Derailment,"10, July, 2011","Fatehpur, Uttar Pradesh, India",25.8435395;80.91800397088501,missing info,70,25.8435395,80.91800397088501,Cause information missing
2011,Flores Rail Crash,"13, September, 2011","Buenos Aires, Las Flores, Partido de Las Flores, Buenos Aires, 7200, Argentina",-34.6275;-58.465,bus driver ignored level crossing warning signals,11,-34.6275,-58.465,Signalling Error
2011,Hordorf Train Collision,"29, January, 2011","Hordorf, Oschersleben, Börde, Sachsen-Anhalt, Deutschland",52.00056;11.19167,missing info,10,52.00056,11.19167,Cause information missing
2011,Wenzhou Train Collision,"23, July, 2011","鹿城区, 温州市, 浙江省, 325000, 中国",28.01158;120.58949,railway signal failure,40,28.01158,120.58949,Track/Rail Error
2012,Myanmar Train Crash,"9, November, 2012",Kantbalu,Kantbalu,undetermined,27,,,Cause information missing
2012,Burlington Via Derailment,"26, February, 2012","Burlington, Halton Region, Golden Horseshoe, Ontario, L7S 1B5, Canada",43.32583;-79.83389,excessive speed on crossover,3,43.32583,-79.83389,Excessive Speed
2012,Buenos Aires Rail Disaster,"22, February, 2012","Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina",-34.60861;-58.4075,motorman error,51,-34.60861,-58.4075,Other
2012,Hectorspruit Level Crossing Accident,"13, July, 2012","Hectorspruit, Nkomazi, Ehlanzeni, Mpumalanga, 1320, South Africa",-25.4394444;31.6827778,missing info,25,-25.4394444,31.6827778,Cause information missing
2012,Lujerului Tram Accident,"10, May, 2012",Lujerului Underpass,Lujerului Underpass,human error,0,,,Human Error
2012,Mahrawa Derailment,"31, May, 2012","Mihrawan, NH135A, Sarai Khwaja, Shahganj, Jaunpur, Uttar Pradesh, 222112, India",25.8707373;82.6939154,under investigation,7,25.8707373,82.6939154,Under Investigation
2012,Manfalut Railway Accident,"17, November, 2012","منفلوط, أسيوط, 71621, مصر",27.317;30.967,missing info,51,27.317,30.967,Cause information missing
2012,Midland Train Crash,"15, November, 2012","Midland, Midland County, Texas, United States",31.985629;-102.093495,missing info,4,31.985629,-102.093495,Cause information missing
2012,Nellore Train Fire,"30, July, 2012","Nellore, Sri Potti Sriramulu Nellore, Andhra Pradesh, 524001, India",14.4493717;79.9873763,under investigation,32,14.4493717,79.9873763,Under Investigation
2012,Penukonda Train Collision,"22, May, 2012","Penukonda, Anantapur, Andhra Pradesh, India",14.119682449999999;77.62273815155461,pilot error,25,14.119682449999999,77.62273815155461,Other
2012,Amsterdam Westerpark Train Collision,"21, April, 2012","Westerpark, West, Amsterdam, Noord-Holland, Nederland",52.387364;4.879003,suspected spad,1,52.387364,4.879003,Other
2012,Szczekociny Rail Crash,"3, March, 2012","Szczekociny, gmina Szczekociny, powiat zawierciański, województwo śląskie, 42-445, Polska",50.62056;19.85833,train dispatcher error,16,50.62056,19.85833,Other
2013,Bintaro Train Crash,"9, December, 2013","Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",-6.2682262;106.7648364,human error,7,-6.2682262,106.7648364,Human Error
2013,Buenos Aires Train Crash,"19, October, 2013","Once de Septiembre, Teniente General Juan Domingo Perón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1213, Argentina",-34.6083827;-58.4070147,sleeping at the controls,7,-34.6083827,-58.4070147,Other
2013,Chapramari Forest Train Accident,"13, November, 2013","Chapramari Wildlife Sanctuary, Jalpaiguri District, West Bengal","Chapramari Wildlife Sanctuary, Jalpaiguri District, West Bengal",speeding,5,,,Excessive Speed
2013,Mexico Train Accident,"25, August, 2013","Huimanguillo, Tabasco, México",17.7620967;-93.66344080511583,missing info,6,17.7620967,-93.66344080511583,Cause information missing
2013,Ottawa Bus–Train Crash,"18, September, 2013","Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada",45.302818;-75.734054,missing info,6,45.302818,-75.734054,Cause information missing
2013,Saltsjöbanan Train Crash,"15, January, 2013","Saltsjöbaden, Nacka kommun, Stockholms län, 133 35, Sverige",59.27894;18.313785,human error,0,59.27894,18.313785,Human Error
2013,Alfarelos Train Crash,"21, January, 2013","Alfarelos, Soure, Coimbra, 3130, Portugal",40.1498521;-8.6533065,missing info,0,40.1498521,-8.6533065,Cause information missing
2013,Badrashin Railway Accident,"15, January, 2013","محافظة الجيزة, مصر",29.054035749999997;29.419080730368712,missing info,19,29.054035749999997,29.419080730368712,Cause information missing
2013,Brétigny-Sur-Orge Train Crash,"12, July, 2013","Brétigny-sur-Orge, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91220, France",48.607316;2.302274,track defect,7,48.607316,2.302274,Track/Rail Error
2013,Castelar Rail Accident,"13, June, 2013","Buenos Aires, Picota, San Martín, Perú",-34.65028;-58.63639,to the driver of ,3,-34.65028,-58.63639,Human Error
2013,Dhamara Ghat Train Accident,"19, August, 2013","Dhamara Ghat, Saharsa District, Bihar",25.5904639;86.5994306,missing info,28,25.5904639,86.5994306,Cause information missing
2013,Fairfield Train Crash,"17, May, 2013","University of Bridgeport, 126, Park Avenue, Marina Park Historic District, Bridgeport, Fairfield County, Connecticut, 06604, United States",41.167361;-73.21806,broken joint bars,0,41.167361,-73.21806,Technical Error
2013,Granges-Près-Marnand Train Crash,"29, July, 2013","Granges-près-Marnand, Valbroye, District de la Broye-Vully, Vaud, 1523, Schweiz/Suisse/Svizzera/Svizra",46.77361;6.89306,driver error  spad,1,46.77361,6.89306,Human Error
2013,Hatfield Colliery,2013,"Stainforth, Dn Tz",53.5934;-1.0145,missing info,Unknows number of deaths,53.5934,-1.0145,Cause information missing
2013,July  Spuyten Duyvil Derailment,"18, July, 2013","Between Spuyten Duyvil And Marble Hill Stations, Bronx, Ny",40.8759;-73.91681,excessive track gauge,0,40.8759,-73.91681,Track/Rail Error
2013,Lac-Mégantic Rail Disaster,"6, July, 2013","Lac-Mégantic, Le Granit, Estrie, Québec, Canada",45.57778;-70.885,neglect,47,45.57778,-70.885,Other
2013,Santiago De Compostela Derailment,"24, July, 2013","Angrois, Santiago de Compostela, Santiago, A Coruña, Galicia, 15894, España",42.8595;-8.52778,overspeed on curve,79,42.8595,-8.52778,Excessive Speed
2013,Valea Lupului Minibus Train Collision,"8, September, 2013","Railway Station In Valea Lupului, Iaşi County  ","Railway Station In Valea Lupului, Iaşi County  ",missing info,11,,,Cause information missing
2014,Annot Derailment,"8, February, 2014","Between Annot And Saint-Benoît, Alpes-De-Haute-Provence","Between Annot And Saint-Benoît, Alpes-De-Haute-Provence",rockfall,2,,,Other
2014,Denguin Rail Crash,"17, July, 2014","Denguin, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64230, France",43.3631981;-0.5074689,under investigation,Unknows number of deaths,43.3631981,-0.5074689,Under Investigation
2014,Katanga Train Derailment,"22, April, 2014",Katongola Bridge ,Katongola Bridge ,driving over speed limit,48,,,Excessive Speed
2014,Khalilabad Derailment,"26, May, 2014","Sant Kabir Nagar District, Uttar Pradesh","Sant Kabir Nagar District, Uttar Pradesh",missing info,40,,,Cause information missing
2014,Moscow Metro Derailment,"15, July, 2014","Москва, Центральный федеральный округ, Россия",55.73639;37.51556,missing info,24,55.73639,37.51556,Cause information missing
2014,Naro-Fominsk Rail Crash,"20, May, 2014","Between Bekasovo And Naro-Fominsk, Russia ",55.384222;36.768944,under investigation,9,55.384222,36.768944,Under Investigation
2014,O'Hare Station Train Crash,"24, March, 2014","O'Hare, 1000, O'Hare Service Drive, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",41.98111;-87.90083,operator falling asleep at controls,Unknows number of deaths,41.98111,-87.90083,Human Error
2014,Seoul Subway Crash,2014,"Sangwangsimni Station, Seoul Subway Line ","Sangwangsimni Station, Seoul Subway Line ",ats failure,Unknows number of deaths,,,Other
2014,Tasikmalaya Derailment,"5, April, 2014","Kadipaten, Tasi","Kadipaten, Tasi",missing info,3,,,Cause information missing
2014,Tiefencastel Derailment,"13, August, 2014","Tiefencastel, Albula/Alvra, Albula, Graubünden/Grischun/Grigioni, 7450, Schweiz/Suisse/Svizzera/Svizra",46.6617875;9.5763923,landslide struck train,1,46.6617875,9.5763923,Environmental Cause
2014,Ukraine Train Bus Collision,"4, February, 2014","Сумська область, Україна",50.7696518;34.3289305,missing info,13,50.7696518,34.3289305,Cause information missing
2015,El Fahs Train Accident,"16, June, 2015","الفحص, معتمدية الفحص, ولاية زغوان, 1140, تونس",36.3632487;9.899836631278166,no barrier at the level crossing,19,36.3632487,9.899836631278166,Other
2015,Gujranwala Derailment,"2, July, 2015","گوجرانوالہ, پنجاب, 52250, پاکستان",32.1525312;74.1933745,bridge collapse,19,32.1525312,74.1933745,Bridge Failure
2015,Studénka Train Crash,"22, July, 2015","Studénka, okres Nový Jičín, Moravskoslezský kraj, Moravskoslezsko, Česko",49.7137494;18.0610845,collision with a truck,3,49.7137494,18.0610845,Other
2015,Aab-E-Gum Derailment,"17, November, 2015","Aab-e-Gum, Station access, Aab-e-Gum, بلوچستان, پاکستان",29.8039595;67.4030506,under investigation,20,29.8039595,67.4030506,Under Investigation
2015,Anekal Derailment,"13, February, 2015","Anekal, Bangalore Urban, Karnataka, India",12.718072;77.710795,broken rail,10,12.718072,77.710795,Track/Rail Error
2015,Dien Sanh Train Crash,"10, March, 2015","Diên Sanh, Hải Lăng, Tỉnh Quảng Trị, Việt Nam",16.6930514;107.2457957,missing info,1,16.6930514,107.2457957,Cause information missing
2015,Eckwersheim Derailment,"14, November, 2015","Eckwersheim, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67550, France",48.6902;7.7053,excessive speed on curve due to late braking,11,48.6902,7.7053,Excessive Speed
2015,Halifax Train Crash,"9, March, 2015","Halifax, Halifax County, North Carolina, United States",36.3261505;-77.59130166291504,truck had trouble making a turn at the level crossing,Unknows number of deaths,36.3261505,-77.59130166291504,Other
2015,Harda Twin Train Derailment,"4, August, 2015","Kurawan Station, Harda District, Madhya Pradesh, India",22.2232;76.93053,trackbed washed away,31,22.2232,76.93053,Track/Rail Error
2015,Ibbenbüren Train Collision,"16, May, 2015","Ibbenbüren, Kreis Steinfurt, Nordrhein-Westfalen, Deutschland",52.2774772;7.7151417,vehicle obstructing line,2,52.2774772,7.7151417,Track/Rail Error
2015,Johannesburg Train Crash,"28, April, 2015","Denver, Berlin Street, Denver, Johannesburg Ward 65, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.20583;28.09694,spad,1,-26.20583,28.09694,Other
2015,Mount Carbon Train Derailment,"16, February, 2015","Mount Carbon, Fayette County, West Virginia, 25189, United States",38.1487167;-81.2927972,broken rail,Unknows number of deaths,38.1487167,-81.2927972,Track/Rail Error
2015,Oxnard Train Derailment,"24, February, 2015","Oxnard, Ventura County, California, 93031, United States",34.19712;-119.14227,truck driver mistakenly turning onto railroad tracks,1,34.19712,-119.14227,Track/Rail Error
2015,Phachi Collision,"26, March, 2015","อำเภอภาชี, จังหวัดพระนครศรีอยุธยา, 13140, ประเทศไทย",14.4302205;100.70988890908632,under investigation,Unknows number of deaths,14.4302205,100.70988890908632,Under Investigation
2015,Philadelphia Train Derailment,"12, May, 2015","Port Richmond, Philadelphia, Philadelphia County, Pennsylvania, 19114:19134, United States",40.00167;-75.09361,loss of situational awareness by train engineer,8,40.00167,-75.09361,Human Error
2015,Rafz Train Crash,"20, February, 2015","Rafz, Bezirk Bülach, Zürich, 8197, Schweiz/Suisse/Svizzera/Svizra",47.6034;8.5434,under investigation ,Unknows number of deaths,47.6034,8.5434,Under Investigation
2015,Tennessee Train Derailment,"2, July, 2015","Maryville, Blount County, Tennessee, United States",35.7608016;-84.02437429999998,overheated journal ,Unknows number of deaths,35.7608016,-84.02437429999998,Other
2015,Uttar Pradesh Train Accident,"20, March, 2015","Bachhrawan, Maharajganj, Raebareli, Uttar Pradesh, 229301, India",26.4709168;81.1152047,under investigation,58,26.4709168,81.1152047,Under Investigation
2015,Wootton Bassett Rail Incident,"7, March, 2015","Wooton Bassett Junction, Wiltshire",51.53528;-1.90556,traincrew error mishandling of aws and braking system on train,Unknows number of deaths,51.53528,-1.90556,Brake Failure/Error
2016,Djebel Jelloud Train Accident,"28, December, 2016","جبل الجلود, ولاية تونس, 2053, تونس",36.7708045;10.1997843,the speed of the bus driver,5,36.7708045,10.1997843,Excessive Speed
2016,Eséka Train Derailment,"21, October, 2016","Eséka, Centre Region",3.64472;10.77139,under investigation,79,3.64472,10.77139,Under Investigation
2016,Hoboken Train Crash,"29, September, 2016","Hoboken, Hudson County, New Jersey, United States",40.7349;-74.0278,train operators fatigue due to undiagnosed sleep apnea,1,40.7349,-74.0278,Human Error
2016,Andria–Corato Train Collision,"12, July, 2016","Andria, Barletta-Andria-Trani, Puglia, Italia",41.197639;16.360222,under investigation,23,41.197639,16.360222,Under Investigation
2016,Bad Aibling Rail Accident,"9, February, 2016","Bad Aibling, Landkreis Rosenheim, Bayern, 83043, Deutschland",47.8640504;12.0097685,signalmans error,12,47.8640504,12.0097685,Signalling Error
2016,"Chester, Pennsylvania, Train Derailment","3, April, 2016","Chester, Delaware County, Pennsylvania, 19013, United States",39.833056;-75.394472,the train struck a backhoe,2,39.833056,-75.394472,Other
2016,Cimarron Train Derailment,"14, March, 2016","Cimarron, Gray County, Kansas, United States",37.808598;-100.381975,track displaced by runaway road truck,0,37.808598,-100.381975,Track/Rail Error
2016,Croydon Tram Derailment,"9, November, 2016","Close To Sandilands Tram Stop, Croydon, London",51.3743;-0.0755,excessive speed on curve due to driver error ,7,51.3743,-0.0755,Excessive Speed
2016,Dalfsen Train Crash,"23, February, 2016","Dalfsen, Overijssel, Nederland",52.50194;6.32444,vehicle obstructing line at level crossingoperator unable to ascertain whether or not it was safe to cross,1,52.50194,6.32444,Track/Rail Error
2016,Hermalle-Sous-Huy Train Collision,"5, June, 2016","Hermalle-sous-Huy, Engis, Huy, Liège, Wallonie, 4480, België / Belgique / Belgien",50.56111;5.34361,under investigation,3,50.56111,5.34361,Under Investigation
2016,Hitrino Train Derailment,"10, December, 2016","Хитрино, Шумен, Бългaрия",43.4249455;26.9168625,under investigation,7,43.4249455,26.9168625,Under Investigation
2016,Kanpur Train Accident,"28, December, 2016","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",26.4609135;80.3217588,under investigation,Unknows number of deaths,26.4609135,80.3217588,Under Investigation
2016,Karachi Rail Crash,"3, November, 2016","کراچی, سندھ, پاکستان",24.8508;67.2119,wrong signal,21,24.8508,67.2119,Signalling Error
2016,O Porriño Derailment,"9, September, 2016","O Porriño, Vigo, Pontevedra, Galicia, España",42.1618812;-8.6202683,speeding,4,42.1618812,-8.6202683,Excessive Speed
2016,Pukhrayan Train Derailment,"20, November, 2016","Pukhrayan, Bhognipur, Kanpur Dehat, Uttar Pradesh, 209111, India",26.23056;79.84833,under investigation,150,26.23056,79.84833,Under Investigation
2016,Semnan–Damghan Train Collision,"25, November, 2016","دامغان, دهستان حومه, بخش مرکزی, شهرستان دامغان, استان سمنان, ایران",35.63333;54.04278,train collision after a train broke down,49,35.63333,54.04278,Other
2017,Adendro Train Derailment,"13, May, 2017","Άδενδρο, Δήμος Χαλκηδόνας, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 57007, Ελλάς",40.6720738;22.6014229,excessive speed,3,40.6720738,22.6014229,Excessive Speed
2017,Alexandria Train Collision,"11, August, 2017","الإسكندرية, محافظة الإسكندرية, 21519, مصر",31.199004;29.894378,under investigation,41,31.199004,29.894378,Under Investigation
2017,Auraiya Train Derailment,"23, August, 2017","Auraiya, Uttar Pradesh, India",26.698743;79.411477,missing info,Unknows number of deaths,26.698743,79.411477,Cause information missing
2017,Barcelona Train Crash,"28, July, 2017","Barcelona - Estació de França, Avinguda del Marquès de l'Argentera, la Ribera, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3842865;2.1854688,under investigation,Unknows number of deaths,41.3842865,2.1854688,Under Investigation
2017,Joo Koon Rail Accident,"15, November, 2017","Joo Koon MRT Station, 91, Joo Koon Circle, Pioneer, Singapore, Southwest, 629116, Singapore",1.3277389;103.6784861,softwarerelated issue,0,1.3277389,103.6784861,Other
2017,Khatauli Train Derailment,"19, August, 2017","Khatauli, Muzaffarnagar, Uttar Pradesh, 251201, India",29.276;77.731,missing info,23,29.276,77.731,Cause information missing
2017,Kuneru Train Derailment,"21, January, 2017","Kuneru, Komarada, Vizianagaram, Andhra Pradesh, India",18.96639;83.44028,under investigation,41,18.96639,83.44028,Under Investigation
2017,Leuven Derailment,"18, February, 2017","Leuven, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",50.879202;4.7011675,excessive speed,1,50.879202,4.7011675,Excessive Speed
2017,Meerbusch Train Crash,"5, December, 2017","Meerbusch, Rhein-Kreis Neuss, Nordrhein-Westfalen, Deutschland",51.2652237;6.6760958,under investigation,Unknows number of deaths,51.2652237,6.6760958,Under Investigation
2017,Merișor Derailment,"8, April, 2017","Merișor , Bănița, Hunedoara County, Romania",45.445575;23.2352778,brake failure,2,45.445575,23.2352778,Brake Failure/Error
2017,Morlanwelz Train Collision And Runaway,"27, November, 2017","Morlanwelz, Hainaut, Belgium - Initial Collisionpiéton, Hainaut - Runawaystrépy-Bracquegnies, Hainaut - Second Collision","Morlanwelz, Hainaut, Belgium - Initial Collisionpiéton, Hainaut - Runawaystrépy-Bracquegnies, Hainaut - Second Collision",under investigation,2,,,Under Investigation
2017,Perpignan Crash,"14, December, 2017","Millas, Arrondissement Of Perpignan, Occitanie",42.68547;2.70399,under investigation,6,42.68547,2.70399,Under Investigation
2017,Washington Train Derailment,"18, December, 2017","Dupont Circle Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20036, United States",47.082;-122.6757,technological error and poor training,3,47.082,-122.6757,Other
